2 2 2 2 2 2
0 0 0 0 0 0 1
1 0 0 0 0 0 3.38848049211726
0 1 0 0 0 0 3.6519993934698
0 0 1 0 0 0 2.28361110192511
0 0 0 1 0 0 2.10066760163727
0 0 0 0 1 0 3.96922469251207
0 0 0 0 0 1 4.48596940810628
1 1 0 0 0 0 3.79053727432883
1 0 1 0 0 0 6.79889848555229
1 0 0 1 0 0 5.97765642788485
1 0 0 0 1 0 5.58014681229787
1 0 0 0 0 1 5.22053826393067
0 1 1 0 0 0 3.91187655902284
0 1 0 1 0 0 5.73679921799044
0 1 0 0 1 0 6.5556252285609
0 1 0 0 0 1 4.12672600909532
0 0 1 1 0 0 5.13662617612469
0 0 1 0 1 0 5.80525363229599
0 0 1 0 0 1 6.81904524544495
0 0 0 1 1 0 4.33672735572831
0 0 0 1 0 1 5.84186472335379
0 0 0 0 1 1 5.98678081154375
1 1 1 0 0 0 6.24070538151494
1 1 0 1 0 0 8.83231331313725
1 1 0 0 1 0 8.83883619901013
1 1 0 0 0 1 7.88537819966114
1 0 1 1 0 0 8.35769344175329
1 0 1 0 1 0 7.06203413464244
1 0 1 0 0 1 8.99172713134457
1 0 0 1 1 0 7.60445171897513
1 0 0 1 0 1 7.39442033161698
1 0 0 0 1 1 8.46570290923727
0 1 1 1 0 0 8.19850994119491
0 1 1 0 1 0 8.50121299313408
0 1 1 0 0 1 8.10948022034559
0 1 0 1 1 0 6.16422277194951
0 1 0 1 0 1 7.9674977494995
0 1 0 0 1 1 8.15507460949104
0 0 1 1 1 0 8.25371177757582
0 0 1 1 0 1 7.44534535926651
0 0 1 0 1 1 6.71466570014771
0 0 0 1 1 1 9.2849375875884
1 1 1 1 0 0 12.4516391246572
1 1 1 0 1 0 9.39278631237973
1 1 1 0 0 1 11.1058859085789
1 1 0 1 1 0 10.6701085056718
1 1 0 1 0 1 9.45054057557808
1 1 0 0 1 1 9.32871061822924
1 0 1 1 1 0 9.9798726351413
1 0 1 1 0 1 9.9635426714536
1 0 1 0 1 1 11.3475704561435
1 0 0 1 1 1 11.3841808859038
0 1 1 1 1 0 11.8105122664306
0 1 1 1 0 1 10.3532078419903
0 1 1 0 1 1 10.4980129722389
0 1 0 1 1 1 11.3132154774014
0 0 1 1 1 1 11.6506324146507
1 1 1 1 1 0 11.2077654763189
1 1 1 1 0 1 12.0677532821192
1 1 1 0 1 1 13.6372148852855
1 1 0 1 1 1 13.9937074814132
1 0 1 1 1 1 12.1184901557088
0 1 1 1 1 1 13.0297341349613
1 1 1 1 1 1 14.6748234550224
